"","Xi","Yi","credit.score","interest.rate","pti","veh.value","co.sign","new.used","subvent.rate","subvent.cash","veh.pick.up","veh.suv","exact.loan.term"
"152",40,17,-1.24240334771931,-0.380746724193564,-0.945771201961887,0.666225694396643,0,1,0,1,1,0,0
"153",40,17,0.891272462882834,-0.174123519278773,0.0655901496025473,-1.62093456362035,0,0,0,0,1,0,1
"154",39,17,-1.62135735269111,0.247225761331782,-0.945771201961887,-0.133415384413379,0,1,0,0,1,0,0
"155",40,17,0.998368159940084,-0.785890263242174,-0.133804263205888,0.208969172555661,0,1,0,0,0,1,1
"156",38,17,1.10546385699733,-0.785890263242174,0.84877851331403,0.489928984856377,0,1,0,1,0,0,1
"157",27,21,0.627652285511141,-0.785890263242174,1.90947456495478,0.495191801547363,0,1,0,0,1,0,0
"158",39,22,-1.67078613594831,-0.23894648552655,-0.945771201961887,1.03368391515125,0,1,0,0,1,0,0
"159",40,22,-1.12706952011919,-0.579267058327383,-0.945771201961887,0.454810790263229,0,1,0,1,1,0,1
"160",22,21,0.339317716510852,0.226968584379351,-0.746376789153452,-0.930672849266873,0,0,0,0,0,0,0
"161",23,21,-0.0643506800895528,-0.0971462468595369,-0.789544651720227,0.757717769839758,1,1,0,1,1,0,0
"162",29,23,-1.31654652260509,-0.785890263242174,-0.945771201961887,0.776273032613241,0,1,0,1,1,0,1
"163",39,22,0.438175283025237,-0.579267058327383,1.17356528881643,0.335111698169576,0,0,0,0,0,1,0
"164",40,22,-1.88497753006281,-0.137660600764398,-0.945771201961887,0.388027635106941,0,1,0,1,1,0,1
"165",39,22,-1.64607174431971,-0.704861555432452,-0.945771201961887,1.63424311594377,0,1,0,1,0,1,0
"166",23,22,-0.805782428947439,-0.785890263242174,-0.945771201961887,0.982353371046495,0,1,0,1,1,0,1
"167",40,22,-1.38245156694802,-0.137660600764398,-0.945771201961887,0.67799469073453,0,1,0,1,1,0,0
"168",24,22,0.355793977596583,-0.174123519278773,-0.240696113371235,0.775819777845555,0,1,0,1,1,0,1
"169",29,26,-1.33302278369082,-0.133609165373912,-0.945771201961887,0.832518094936522,0,1,0,1,1,0,0
"170",39,26,0.742986113111257,-0.380746724193564,-0.579872176395893,0.615065874145382,1,1,0,1,1,0,0
"171",38,26,-0.616305426461535,0.0243968148550462,-0.945771201961887,0.772188810825877,0,1,0,1,1,0,0
"172",40,27,-1.2671177393479,-0.380746724193564,-0.945771201961887,0.925077107825569,0,1,0,1,1,0,1
"173",30,25,0.767700504739853,-1.75418332156835,-0.00635628800874385,1.69735320232521,0,1,1,0,0,1,0
"174",39,26,-2.01678761874865,-0.421261078098425,-0.945771201961887,1.32141703931013,0,1,0,1,1,0,1
"175",39,25,0.50408032736816,-1.75418332156835,0.830278000785413,0.972809780551454,0,1,1,0,0,0,0
"176",36,18,-1.74492931083409,0.672626477332822,-0.945771201961887,-0.357844014085141,0,0,0,0,1,0,1
"177",37,18,0.71827172148266,-0.380746724193564,-0.0906364006391134,-0.662973001460868,1,0,0,0,1,0,1
"178",36,18,-1.91793005223427,-0.599524235279813,-0.945771201961887,1.00446875736247,0,1,0,1,1,0,0
"179",40,17,0.364032108139448,1.04130709786706,0.970059651001635,-0.113750415653223,1,0,0,0,0,0,1
"180",38,17,1.12194011808307,-0.482032608955717,-0.0680246631041361,-0.133606953115461,1,1,0,1,1,0,0
"181",39,17,0.784176765825584,-0.583318493717869,0.873445863352187,0.317618516547731,0,1,0,1,1,0,0
"182",21,17,1.08074946536874,-0.178174954669259,-0.855324251821979,-0.406974065052334,0,1,0,1,0,0,0
"183",39,17,0.50408032736816,-0.62383284762273,-0.213973150829898,-0.0176303690708294,0,0,0,0,0,1,0
"184",40,17,-1.43188035020521,-0.174123519278773,-0.945771201961887,0.659308228568666,0,1,0,1,0,0,1
"185",40,17,1.02308255156868,0.125682699617199,0.186871287290152,-0.0687400117419812,1,0,0,0,1,0,1
"186",39,21,0.70179546039693,-0.664347201527591,-0.596317076421331,-1.18745215962184,1,0,0,0,0,0,0
"187",39,21,0.421699021939506,-0.785890263242174,-0.222195600842617,-0.781014791145226,0,0,0,0,1,0,0
"188",39,21,-1.2918321309765,0.206711407426921,-0.945771201961887,1.33755742369098,0,1,0,1,1,0,0
"189",37,21,-0.262065813118322,-0.579267058327383,-0.789544651720227,1.42599665774271,1,1,1,0,0,1,0
"190",40,21,-1.62959548323398,0.0649111687599072,-0.945771201961887,0.409048194552752,0,1,0,1,1,0,1
"191",40,21,-0.311494596375515,0.915712600761988,-0.775155364197968,0.58611024185369,1,1,0,1,0,1,1
"192",40,21,0.364032108139448,0.16619705352206,-0.0659690506009565,-0.823357871843572,0,0,0,0,1,0,1
"193",27,21,-0.229113290946861,0.935969777714419,-0.191361413294921,-1.02298397156924,1,0,0,0,0,0,0
"194",38,21,1.19608329296885,-0.785890263242174,0.238261599869646,1.36346564862865,0,1,0,1,0,1,0
"195",39,21,0.981891898854353,-0.502289785908147,0.359542737557251,1.05277256922358,1,1,0,1,1,0,0
"196",40,13,0.0427450169676974,0.429540353903656,-0.446257363689209,-1.74160307247172,1,0,0,0,0,0,1
"197",40,13,1.06427320428301,0.0243968148550462,-0.248918563383954,-0.623622407154317,0,1,0,1,0,0,1
"198",40,13,0.364032108139448,0.267482938284212,-0.565482888873635,0.952826101906503,1,1,0,1,1,0,1
"199",28,13,0.594699763339679,-0.380746724193564,0.760387175677301,0.324367156109964,0,1,0,1,0,1,0
"200",39,13,0.034506886424832,1.73005111424969,0.894001988383985,-1.61664617280089,1,0,0,0,1,0,0
"201",32,12,0.116888191853486,0.226968584379351,0.135480974710659,0.275018645807172,1,1,0,1,0,1,0
"202",13,12,0.438175283025237,-0.785890263242174,-0.678541576548521,1.01960696266194,1,1,0,1,1,0,0
"203",27,12,1.20432142351172,0.713140831237683,-0.28180836343483,-1.48158492498237,0,0,0,0,1,0,0
"204",30,12,-0.962306909261882,0.0243968148550462,-0.945771201961887,0.804248077751456,0,1,0,1,1,0,0
"205",38,12,-0.336208988004111,3.18856785482469,0.920724950925321,-1.93501652375714,0,0,0,0,0,1,0
"206",37,12,0.075697539139159,1.89210852986914,-0.0392460880596197,-1.21015282786209,0,0,0,0,0,0,0
"207",39,12,0.191031366739275,3.47216833215872,-0.0515797630786983,-2.44712569831037,0,0,0,0,1,0,0
"208",16,12,0.940701246140026,0.875198246857127,0.291707524952319,-0.955291633768467,0,0,0,0,1,0,0
"209",35,12,0.388746499768044,-0.947947678861618,-0.0783027256200349,1.05401918070358,1,1,0,1,0,1,0
"210",37,21,1.06427320428301,-0.785890263242174,1.02967241359385,1.08845439266002,0,1,0,1,1,0,1
"211",38,20,0.71827172148266,0.287740115236643,-0.156416000740865,-2.27837896640945,0,0,0,0,0,0,0
"212",38,20,0.91598685451143,-0.785890263242174,0.334875387519094,-0.592018000644219,1,0,0,0,1,0,0
"213",40,20,0.652366677139737,-0.441518255050856,-0.298253263460268,-0.930672849266873,1,0,0,0,0,0,1
"214",29,19,0.355793977596583,0.0243968148550462,0.795332588231357,-0.949785840203352,0,0,0,0,0,0,0
"215",40,20,0.174555105653544,-0.380746724193564,-0.606595138937229,-0.214416714195752,1,1,0,1,0,1,1
"216",35,20,0.289888933253659,0.0243968148550462,0.193038124799691,-1.16192152522517,0,0,0,0,0,0,0
"217",32,20,1.01484442102581,-0.785890263242174,-0.635373713981746,1.18399985703466,1,1,0,1,1,0,1
"218",36,19,0.734747982568391,-0.785890263242174,-0.135859875709068,1.7380315898652,1,1,0,0,0,1,1
"219",30,19,-1.32478465314796,-0.380746724193564,-0.945771201961887,0.279343079980967,0,1,0,1,1,0,0
"220",39,19,-1.20121269500498,-0.178174954669259,-0.945771201961887,0.294981701125442,0,1,0,0,1,0,1
"221",39,19,-1.70373865811977,-0.137660600764398,-0.945771201961887,-0.0972662927980426,0,1,0,1,1,0,0
"222",40,19,-1.51426165563386,0.5915977695231,-0.945771201961887,-0.195798750726088,0,1,0,1,1,0,1
"223",39,19,0.70179546039693,0.0243968148550462,-0.0248568005373615,0.542438420367515,1,1,0,1,1,0,0
"224",38,19,0.602937893882545,-0.745375909337313,0.392432537608127,0.695348431471023,0,1,0,0,0,1,0
"225",32,6,-0.245589552032592,1.08182145177192,2.25892869049534,0.0823660715352229,0,1,0,0,1,0,1
"226",35,6,0.429937152482371,0.5915977695231,-0.27769713842847,-1.07882327503335,1,0,0,0,1,0,1
"227",22,6,0.0180306253391012,1.88805709447865,-0.705264539089857,-1.58696520910675,1,0,0,0,0,0,0
"228",39,21,-1.506023525091,-0.19843213162169,-0.945771201961887,0.185654812509971,0,1,0,1,1,0,0
"229",40,21,0.775938635282718,-1.3895541364246,-0.448312976192389,1.72373437875214,1,1,1,0,0,1,1
"230",34,21,0.965415637768622,-0.785890263242174,1.42435001420436,0.360561916805936,1,1,0,1,0,0,0
"231",14,13,0.891272462882834,-0.785890263242174,0.277318237430061,-0.0379860039702089,1,1,0,1,0,1,1
"232",39,13,0.545270980082487,-0.542804139813008,0.589771337913382,0.523544393542962,0,0,0,0,1,0,0
"233",22,13,1.03955881265441,-0.785890263242174,-0.0207455755310021,0.935868384561219,1,1,0,1,1,0,0
"234",39,12,0.800653026911314,-0.380746724193564,0.655550938015134,0.697737803269281,0,1,0,0,0,1,0
"235",29,12,-1.44011848074807,-0.178174954669259,-0.945771201961887,1.06909926807063,0,1,0,1,1,0,0
"236",33,12,0.973653768311488,0.328254469141504,-0.028968025543721,0.995788135947094,1,1,0,1,1,0,0
"237",26,12,0.775938635282718,-0.785890263242174,2.0698123402028,1.42586089655736,0,1,0,1,0,1,0
"238",31,12,1.17136890134026,-0.259203662478981,1.29690203900721,-1.10906735300239,0,0,0,0,0,0,0
"239",39,12,-1.34949904477656,-0.137660600764398,-0.945771201961887,0.331413737161729,0,1,0,1,1,0,0
"240",39,12,1.16313077079739,-0.785890263242174,1.54563115189196,0.917797336358992,1,1,0,1,0,0,0
"241",39,20,-1.33302278369082,-0.137660600764398,-0.945771201961887,0.0921247542647193,0,1,0,1,1,0,0
"242",39,20,1.03955881265441,-0.785890263242174,2.13559194030455,0.672887431145436,1,1,0,1,0,1,0
"243",32,20,-0.113779463346745,-0.19843213162169,-0.380477763587457,-0.483415002588659,1,0,0,0,0,1,1
"244",22,20,-1.34949904477656,0.0243968148550462,-0.945771201961887,1.00389959610907,0,1,0,1,1,0,1
"245",33,19,0.191031366739275,-0.21868930857412,-0.643596163994465,-0.966364096087035,0,0,0,0,0,1,0
"246",28,19,0.792414896368449,-0.785890263242174,0.324597325003195,1.12786795252648,0,1,0,1,0,1,0
