"","Ti","Yi","Di","credit.score","interest.rate","pti","veh.value","co.sign","new.used","subvent.rate","subvent.cash","veh.pick.up","veh.suv"
"135",63,57,1,0.157914755485451,-0.650982041949128,0.818942186001641,0.594761501976525,0,1,0,1,0,1
"136",63,57,1,0.862760026185314,-0.733029272342419,0.0262214831778753,0.822304098192033,1,1,0,1,1,0
"137",63,57,1,-0.194507879864481,0.624852390666554,0.866696445207892,0.538025405272237,1,1,0,1,1,0
"138",63,57,1,-0.391449940795325,-1.73400548314058,0.570620038129136,0.377913865088935,0,1,1,0,0,1
"139",64,57,1,1.26700951967494,-1.73400548314058,0.541967482605386,0.931239844238886,0,1,1,0,0,1
"140",63,57,1,-0.153046393352724,0.518190991155275,9.2213040933415,1.16904472678224,1,1,0,1,1,0
"141",63,57,1,-1.45908321847306,-0.113572682873069,-1.27030665427184,0.588159314302592,0,1,0,0,0,1
"142",62,57,1,0.0335302959501807,0.333584722770369,-0.169570979567754,0.687313718996922,1,1,0,1,1,0
"143",65,57,1,-0.57802663009823,0.620750029146889,3.19949200743325,0.465869920164094,0,1,0,1,0,0
"144",61,57,1,-0.184142508236542,-1.73400548314058,0.833268463763516,0.623571053171149,0,1,1,0,0,0
"145",64,57,1,-2.28831294870819,-0.507399388760868,-1.27030665427184,0.200784648481473,0,1,0,1,1,0
"146",64,57,1,1.09079820199998,-1.73400548314058,-0.191060396210567,0.950954960006837,1,1,1,0,0,1
"147",64,57,1,-1.57310230638039,-0.0971632367944108,-1.27030665427184,0.499214529528983,0,1,0,1,1,0
"148",64,57,1,1.00787522897646,-1.73400548314058,-0.675766127154014,0.865996760663912,1,1,1,0,0,0
"149",63,57,1,0.427414417811869,-1.73400548314058,2.51660610078386,0.954593593110364,0,1,1,0,0,0
"150",63,57,1,0.852394654557375,-1.73400548314058,-0.47519823848776,1.0191629629441,0,1,1,0,0,1
"151",64,57,1,1.13225968851173,-1.73400548314058,0.179035112637878,1.15194169085398,0,1,1,0,0,1
"152",65,56,1,-0.557295886842352,-1.73400548314058,1.65702943507135,0.0150140734690032,0,1,1,0,1,0
"153",63,56,1,-0.349988454283568,-1.73400548314058,2.27544709179229,0.409815888071618,1,1,1,0,0,1
"154",63,56,1,0.696914080138287,-1.73400548314058,0.926389269215706,0.180350052139272,1,1,1,0,1,0
"155",64,56,1,1.36029786432639,-1.73400548314058,-0.121816720361503,0.17160527487899,1,1,1,0,0,1
"156",63,56,1,0.893856141069131,-1.73400548314058,-0.797539488129954,0.940847245421384,0,1,1,0,0,0
"157",63,56,1,0.489606647579504,-1.73400548314058,-1.07451419152621,1.44851452904736,1,1,1,0,0,1
"158",63,61,1,-0.609122744982047,-1.73400548314058,0.546742908526011,1.53391748237546,1,1,1,0,0,0
"159",64,60,1,-0.0286619338174543,-1.73400548314058,-0.405954562638696,1.08353389711368,1,1,1,0,0,0
"160",64,60,1,-0.101219535213028,-1.73400548314058,-0.468035099606822,1.37052698193736,0,1,1,0,0,1
"161",63,60,1,0.520702762463321,-1.73400548314058,1.59256118514291,1.17197350243316,0,1,1,0,0,1
"162",63,59,1,0.935317627580888,-1.73400548314058,1.55674549073822,1.70678750453277,0,1,1,0,0,1
"163",62,59,1,0.562164248975078,-1.36479294637076,0.678067121343201,1.50041641641908,1,1,1,0,0,1
"164",62,59,1,0.810933168045618,-1.73400548314058,-0.778437784447453,1.40135590117214,0,1,1,0,0,1
"165",64,55,1,-0.484738285446777,1.54788373259108,0.76163707495414,-0.486949481951924,0,0,0,0,1,0
"166",64,55,1,0.91458688432501,-0.733029272342419,0.0715880294238137,0.850981936196093,0,1,0,1,1,0
