"","Xi","Yi","credit.score","interest.rate","pti","veh.value","co.sign","new.used","subvent.rate","subvent.cash","veh.pick.up","veh.suv"
"246",40,12,-2.29591551647544,-0.231726450034157,-0.979053612491952,0.317367521173524,0,1,0,1,0,0
"247",40,12,-1.64309926992249,-0.231726450034157,-0.979053612491952,-0.488153009047548,0,0,0,0,1,0
"248",39,12,1.01838235063956,0.301339986379974,-0.370122489425422,-0.321395226597314,1,0,0,0,0,1
"249",24,11,0.69197422736308,1.34772965785956,-0.634607724696743,-2.11110199867121,0,0,0,0,0,0
"250",22,11,0.583171519604254,0.123651174241931,0.61400861856089,-0.72724400213007,0,0,0,0,0,0
"251",37,11,0.022419102693383,1.90053929562237,-0.122039439287206,-2.32877849620088,0,0,0,0,1,0
"252",21,11,1.26946552239069,-0.824022490494302,1.23319110733561,0.835734907940623,1,1,0,1,1,0
"253",40,11,0.0558968589268678,0.285545425301037,0.53609823917864,-0.816416232301346,1,0,0,0,1,0
"254",38,11,0.231655079152663,-0.15275364463947,0.831337571574534,0.225084249769262,0,1,0,1,0,1
"255",33,14,1.08533786310653,-0.133010443290799,-0.823232853727452,0.0248136067297357,1,1,0,1,1,0
"256",15,14,0.83425469135539,0.24211038233396,0.880544126973849,-1.52001092412504,1,0,0,0,0,0
"257",39,14,0.943057399114216,-0.824022490494302,0.0153288612025503,1.23662153980247,0,1,0,1,1,0
"258",31,13,-0.111491922240556,1.92423113724077,0.324920105589911,-1.92059364274349,1,0,0,0,0,1
